#net|sta|loc|chan|lat|lon|elev|depth|azimuth|dip|instrument|scale|scalefreq|scaleunits|samplerate|start|end
PR|ABVI||BHZ|18.72961|-64.33254|7.9|1|0|-90||6.1891E8|0.05|m/s|40|2015-08-31T00:00:00|
PR|AGPR||BHZ|18.46749|-67.11118|119.9|2|0|-90||8.3886E8|1|m/s|40|2019-10-28T16:00:00|2020-02-27T16:00:00
PR|AGPR|00|HHZ|18.46749|-67.11118|119.9|3|0|-90||4.81E8|1|m/s|100|2019-10-29T00:00:00|
PR|AOPR||BHZ|18.346645|-66.753979|355.1|1|90|0|GURALP|4.9118430528744453E8|1|m/s|40|2019-09-14T00:00:00|2020-02-12T00:00:00
PR|AUA1||BHZ|12.505567|-70.010567|23|2|0|-90||6.67733E8|1|m/s|40|2011-07-03T10:00:00|
PR|CDVI||BHZ|17.75222|-64.76472|52|2|90|0|REF TEK|1.2571976545278196E9|0.5|m/s|40|2013-12-06T16:00:00|2020-04-21T00:00:00
PR|CDVI||HHZ|17.731667|-64.714722|70|0|0|-90||1050000.0|1|M/S**2|100|2009-03-17T18:00:00|
PR|CELP|00|HHZ|18.07485|-66.579167|197|1|0|-90||4.81E8|1|m/s|100|2019-10-30T00:00:00|
PR|CRPR||BHZ|18.0064|-67.1096|119.9|2|0|-90||5.0142E8|0.05|m/s|40|2017-11-30T14:00:00|2020-06-23T09:00:00
PR|CRPR|00|HHZ|18.0064|-67.1096|64.9|3|0|-90||4.81E8|1|m/s|100|2019-10-28T00:00:00|
PR|CULB||BHZ|18.326387|-65.300552|580|2|0|-90||5.019E8|1|M/S|40|2005-05-16T11:00:00|
PR|CUPR||BHZ|18.30746|-65.28256|7|1|0|-90||3.06313E8|0.05|m/s|40|2012-10-16T16:00:00|2020-01-26T16:00:00
PR|ECPR||BHZ|18.31875|-66.36288|207|3|0|-90||1.24858E9|0.5|m/s|40|2019-10-28T00:15:00|
PR|ECPR|00|HHZ|18.31875|-66.36288|207|3|0|-90||4.81E8|1|m/s|100|2019-10-28T00:00:00|
PR|EMPR||BHZ|18.477098|-66.529495|7.4|2|0|-90||8.3886E8|1|m/s|40|2016-10-19T15:30:00|
PR|EMPR|00|HHZ|18.477098|-66.529495|7.4|3|0|-90||4.81E8|1|m/s|100|2019-10-28T00:00:00|
PR|GCPR||BHZ|18.309091|-66.08366|115|2|0|-90||5.04365E8|1|m/s|40|2018-08-06T00:00:00|2020-03-01T16:00:00
PR|HUMP||BHZ|18.142069|-65.848851|79.1|2|0|-90||9.0856E8|0.05|m/s|40|2016-08-10T17:00:00|2021-04-30T16:00:00
PR|HUMP||HHZ|18.142069|-65.848846|79.1|2|0|-90||524749.0|0.05|M/S**2|100|2005-02-14T00:00:00|
PR|HUMP|00|HHZ|18.142069|-65.848851|79.1|3|0|-90||4.81E8|1|m/s|100|2019-10-28T00:00:00|
PR|ICM||BHZ|17.893358|-66.520973|77.2|2|0|-90||4.17406E8|1|M/S|40|2003-02-28T14:00:00|
PR|ICMP||BHZ|17.8863|-66.5267|10|2|90|0|GURALP|1.227332650296249E9|1|m/s|40|2013-10-23T00:00:00|2020-07-09T00:00:00
PR|IGPR|00|HHZ|17.965485|-66.106852|10|3|0|-90||4.81E8|1|m/s|100|2019-10-28T16:00:00|
PR|IMPR||BHZ|18.076971|-67.931123|4|0|0|-90||8.24872E8|0.05|m/s|40|2009-07-15T13:40:00|2020-01-29T16:00:00
PR|MLPR||BHZ|17.969428|-67.044223|31|2|0|-90|NANOMETRICS|4.81E8|1|m/s|40|2019-10-28T00:00:00|2020-01-17T00:00:00
PR|MLPR|00|HHZ|17.969428|-67.044223|31|2|0|-90||4.81E8|1|m/s|100|2019-07-02T16:00:00|
PR|MTP||BHZ|18.097254|-65.55272|191|1|0|-90||1.24568E9|0.05|m/s|40|2010-11-10T12:00:00|2020-01-31T16:00:00
PR|OBIP||BHZ|18.0428|-66.60623|102.6|0|0|-90||5.03303E8|0.05|m/s|40|2011-04-12T16:00:00|2020-11-04T14:00:00
